Rank,Player,Points,Country,Characters
1,"SJ | Strawhat",2218,"","Young Link - Toon Link"
2,"red berpo",2019,"","Joker - Banjo-Kazooie - Ganondorf - Ike - King K Rool - Mario - Pac Man - Peach - Ridley - Wolf - Random"
3,"Andromeda",1838,"","Falco - Inkling"
4,"Secret",1831,"","Shulk - Snake"
5,"Lemonpepsi",1795,"","Inkling - Captain Falcon - Cloud - Fox - Jigglypuff"
6,"Mu^",1712,"","Mewtwo - Piranha Plant"
7,"Blob",1702,"","Wii Fit Trainer"
8,"Mendez",1657,"","Joker - Mario"
9,"GaryOnHisBS",1612,"","Joker - Hero - Wolf - Pit - Chrom - Incineroar - Random"
10,"Tempo",1590,"","Ken"
11,"$Krilldog$",1582,"","Sephiroth"
12,"PSG | Grixis",1545,"","Little Mac - Wolf"
13,"Evanem",1545,"","Ken - Ryu"
14,"Caw",1542,"","Bowser - Random - Mii Brawler"
15,"Stuffy",1537,"","Ness"
16,"Cool",1500,"","Rob - Snake"
17,"traitorjoe",1497,"","Incineroar - Wario"
18,"FBG | mrguy321",1485,"","Mii Gunner - Dr Mario"
19,"KekNinja",1478,"","Greninja - Mr Game And Watch"
20,"Stevebr0",1415,"","Falco - Toon Link - Lucina"
21,"Clobbah",1414,"","Kirby"
22,"Swickalicious",1384,"","Cloud"
23,"Vegeta",1331,"","Palutena - Fox"
24,"cobaly",1321,"","Mega Man - Lucario"
25,"Flavor",1318,"","Piranha Plant"
26,"MoralAtheist",1313,"","Link - Pyra / Mythra"
27,"Luke Snywalker",1311,"","Link"
28,"9734521004 | ;(",1273,"","Lucas - Mario"
29,"Yoshistar",1254,"","Yoshi - Inkling - Isabelle - Incineroar"
30,"DeFaz",1216,"","Pokemon Trainer - Falco"
31,"Dougdimmadome",1210,"","Piranha Plant"
32,"Rake",1199,"","Captain Falcon - Bowser"
33,"Jio NExuS",1040,"","Pyra / Mythra"
34,"Supreme",1021,"","Captain Falcon - Lucina"
35,"AlteredBeast",1002,"","Wolf - Terry - Pyra / Mythra"
36,"BigSexc",990,"",""
37,"Juicy J",979,"","Roy"
38,"Fatch",702,"","Ridley - King K Rool"
39,"Warioman",700,"","Wario"
40,"Falcon",667,"","Captain Falcon"
