Rank,Player,Points,Country,Characters
1,"SJ | Strawhat",2090,"","Young Link - Toon Link"
2,"red berpo",1903,"","Joker - Banjo-Kazooie - Ganondorf - Ike - King K Rool - Mario - Pac Man - Peach - Ridley - Wolf - Random"
3,"shellder",1738,"","Ridley"
4,"Andromeda",1737,"","Falco - Inkling"
5,"Tempo",1736,"","Ken"
6,"Secret",1718,"","Shulk - Snake"
7,"Lemonpepsi",1708,"","Inkling - Captain Falcon - Cloud - Fox - Jigglypuff"
8,"RPG | Nutty",1667,"","Donkey Kong - Mr Game And Watch"
9,"Ramnikia",1665,"","Chrom"
10,"Caw",1645,"","Bowser - Random - Mii Brawler"
11,"Ryan",1630,"","Olimar - King Dedede"
12,"Evanem",1596,"","Ken - Ryu"
13,"Skies",1591,"","Bowser - Wolf - Roy"
14,"GaryOnHisBS",1587,"","Joker - Hero - Wolf - Pit - Chrom - Incineroar - Random"
15,"No",1576,"","Chrom - Isabelle - Villager - Sheik"
16,"Gear",1561,"","Dark Samus"
17,"Cool",1483,"","Rob - Snake"
18,"boqw",1477,"","Dark Pit - Lucina"
19,"BLITZ_1217",1461,"","Pit - Dark Pit"
20,"Blob",1451,"","Wii Fit Trainer"
21,"Ley38",1443,"","Isabelle - Joker"
22,"Mendez",1431,"","Joker - Mario"
23,"LS | Scardone",1412,"","Inkling - Little Mac"
24,"Levin~",1391,"","Robin"
25,"RyanSavage",1368,"","Chrom - King K Rool"
26,"Vegeta",1341,"","Palutena - Fox"
27,"JJM",1334,"","Peach - Daisy"
28,"Stuffy",1328,"","Ness"
29,"Yoshistar",1326,"","Yoshi - Inkling - Isabelle - Incineroar"
30,"h",1321,"","Little Mac - Kirby - Piranha Plant"
31,"exxlppm",1290,"","Yoshi"
32,"e-in",1285,"","Pichu - Roy"
33,"$Krilldog$",1268,"","Sephiroth"
34,"MoralAtheist",1251,"","Link - Pyra / Mythra"
35,"Ian",1249,"","Isabelle - Bowser Jr - Corrin"
36,"Renda",1243,"","Wii Fit Trainer - Bowser Jr - Dr Mario - Greninja - Falco"
37,"cobaly",1183,"","Mega Man - Lucario"
38,"Luke Snywalker",1168,"","Link"
39,"traitorjoe",1129,"","Incineroar - Wario"
40,"JGG | madluk",1121,"","Piranha Plant"
41,"P-Merks",1108,"","Ness"
42,"DeFaz",1068,"","Pokemon Trainer - Falco"
43,"A2 | Eternal",1049,"","Shulk"
44,"HD | Orphan",884,"","Fox"
45,"Status",747,"","Wolf"
46,"GRA",643,"","Cloud"
47,"bunz",640,"","Link"
