player,rank,points,semester
SJ | Strawhat,1,2090,Spring 2019
red berpo,2,1903,Spring 2019
shellder,3,1738,Spring 2019
Andromeda,4,1737,Spring 2019
Tempo,5,1736,Spring 2019
Secret,6,1718,Spring 2019
Lemonpepsi,7,1708,Spring 2019
RPG | Nutty,8,1667,Spring 2019
Ramnikia,9,1665,Spring 2019
Caw,10,1645,Spring 2019
Ryan,11,1630,Spring 2019
Evanem,12,1596,Spring 2019
Skies,13,1591,Spring 2019
GaryOnHisBS,14,1587,Spring 2019
No,15,1576,Spring 2019
Gear,16,1561,Spring 2019
Cool,17,1483,Spring 2019
boqw,18,1477,Spring 2019
BLITZ_1217,19,1461,Spring 2019
Blob,20,1451,Spring 2019
Ley38,21,1443,Spring 2019
Mendez,22,1431,Spring 2019
LS | Scardone,23,1412,Spring 2019
Levin~,24,1391,Spring 2019
RyanSavage,25,1368,Spring 2019
Vegeta,26,1341,Spring 2019
JJM,27,1334,Spring 2019
Stuffy,28,1328,Spring 2019
Yoshistar,29,1326,Spring 2019
h,30,1321,Spring 2019
exxlppm,31,1290,Spring 2019
e-in,32,1285,Spring 2019
$Krilldog$,33,1268,Spring 2019
MoralAtheist,34,1251,Spring 2019
Ian,35,1249,Spring 2019
Renda,36,1243,Spring 2019
cobaly,37,1183,Spring 2019
Luke Snywalker,38,1168,Spring 2019
traitorjoe,39,1129,Spring 2019
JGG | madluk,40,1121,Spring 2019
P-Merks,41,1108,Spring 2019
DeFaz,42,1068,Spring 2019
A2 | Eternal,43,1049,Spring 2019
HD | Orphan,44,884,Spring 2019
Status,45,747,Spring 2019
GRA,46,643,Spring 2019
bunz,47,640,Spring 2019
SJ | Strawhat,1,2218,Fall 2019
red berpo,2,2019,Fall 2019
Andromeda,3,1838,Fall 2019
Secret,4,1831,Fall 2019
Lemonpepsi,5,1795,Fall 2019
Mu^,6,1712,Fall 2019
Blob,7,1702,Fall 2019
Mendez,8,1657,Fall 2019
GaryOnHisBS,9,1612,Fall 2019
Tempo,10,1590,Fall 2019
$Krilldog$,11,1582,Fall 2019
PSG | Grixis,12,1545,Fall 2019
Evanem,13,1545,Fall 2019
Caw,14,1542,Fall 2019
Stuffy,15,1537,Fall 2019
Cool,16,1500,Fall 2019
traitorjoe,17,1497,Fall 2019
FBG | mrguy321,18,1485,Fall 2019
KekNinja,19,1478,Fall 2019
Stevebr0,20,1415,Fall 2019
Clobbah,21,1414,Fall 2019
Swickalicious,22,1384,Fall 2019
Vegeta,23,1331,Fall 2019
cobaly,24,1321,Fall 2019
Flavor,25,1318,Fall 2019
MoralAtheist,26,1313,Fall 2019
Luke Snywalker,27,1311,Fall 2019
9734521004 | ;(,28,1273,Fall 2019
Yoshistar,29,1254,Fall 2019
DeFaz,30,1216,Fall 2019
Dougdimmadome,31,1210,Fall 2019
Rake,32,1199,Fall 2019
Jio NExuS,33,1040,Fall 2019
Supreme,34,1021,Fall 2019
AlteredBeast,35,1002,Fall 2019
BigSexc,36,990,Fall 2019
Juicy J,37,979,Fall 2019
Fatch,38,702,Fall 2019
Warioman,39,700,Fall 2019
Falcon,40,667,Fall 2019
SJ | Strawhat,1,2130,Spring 2020
Skies,2,1874,Spring 2020
Secret,3,1812,Spring 2020
Bizelion,4,1677,Spring 2020
Stevebr0,5,1585,Spring 2020
Lemonpepsi,6,1563,Spring 2020
Cool,7,1556,Spring 2020
Levin~,8,1546,Spring 2020
Vegeta,9,1507,Spring 2020
Venture,10,1476,Spring 2020
GaryOnHisBS,11,1468,Spring 2020
MoralAtheist,12,1468,Spring 2020
Blob,13,1445,Spring 2020
Evanem,14,1443,Spring 2020
traitorjoe,15,1393,Spring 2020
Mendez,16,1379,Spring 2020
Swickalicious,17,1356,Spring 2020
Yoshistar,18,1304,Spring 2020
FBG | mrguy321,19,1249,Spring 2020
Dougdimmadome,20,1225,Spring 2020
Double,21,1202,Spring 2020
Luke Snywalker,22,1169,Spring 2020
cobaly,23,1142,Spring 2020
Ayds,24,1059,Spring 2020
Supreme,25,1011,Spring 2020
Sinbad ,26,1006,Spring 2020
ewisko,27,999,Spring 2020
FDNC | Bernie Sanders,28,965,Spring 2020
Flavor,29,948,Spring 2020
Jio NExuS,30,918,Spring 2020
LS | Scardone,31,893,Spring 2020
Chriso,32,728,Spring 2020
AlteredBeast,33,678,Spring 2020
Warioman,34,639,Spring 2020
Bhaijan,35,618,Spring 2020
xavier,1,2002,Fall 2021
Stevebr0,2,1906,Fall 2021
TC | flackito,3,1730,Fall 2021
FBG | mrguy321,4,1720,Fall 2021
toph,5,1687,Fall 2021
Caw,6,1667,Fall 2021
Ferret,7,1583,Fall 2021
Momo,8,1582,Fall 2021
traitorjoe,9,1444,Fall 2021
bubbyloaf,10,1417,Fall 2021
AlteredBeast,11,1385,Fall 2021
Swickalicious,12,1372,Fall 2021
h,13,1351,Fall 2021
KevinJSI,14,1318,Fall 2021
Pocket,15,1295,Fall 2021
Crystal D,16,1218,Fall 2021
Jio NExuS,17,1135,Fall 2021
Gamer Pavillion | EromangaFan,18,1128,Fall 2021
