player,semester,rank,points
$Krilldog$,Spring 2023,9,1577
Andromeda,Fall 2019,3,1838
Andromeda,Spring 2019,4,1737
Barry mc,Spring 2022,7,1426
Bizelion,Spring 2020,4,1677
Bjr,Fall 2022,8,1584
Bjr,Spring 2023,10,1486
Blob,Fall 2019,7,1702
bubbyloaf,Fall 2021,10,1417
Caw,Fall 2021,6,1667
Caw,Spring 2019,10,1645
Cool,Spring 2020,7,1556
Cool,Spring 2022,10,1417
FBG | mrguy321,Fall 2021,4,1720
FBG | mrguy321,Fall 2022,4,1714
FBG | mrguy321,Spring 2022,3,1669
FBG | mrguy321,Spring 2023,7,1658
Ferret,Fall 2021,7,1583
Flavor,Fall 2022,10,1501
FZP | EO,Fall 2022,2,1810
FZP | EO,Spring 2023,5,1710
GaryOnHisBS,Fall 2019,9,1612
Ice On Deck,Spring 2023,1,1838
KevinJSI,Spring 2022,6,1462
koala cub,Fall 2022,9,1545
Lemonpepsi,Fall 2019,5,1795
Lemonpepsi,Spring 2019,7,1708
Lemonpepsi,Spring 2020,6,1563
Levin~,Spring 2020,8,1546
Menchu,Fall 2022,6,1677
Menchu,Spring 2023,8,1640
Mendez,Fall 2019,8,1657
Momo,Fall 2021,8,1582
Momo,Spring 2022,9,1421
Mu^,Fall 2019,6,1712
Pocket,Spring 2022,8,1422
Ramnikia,Spring 2019,9,1665
red berpo,Fall 2019,2,2019
red berpo,Spring 2019,2,1903
RPG | Nutty,Spring 2019,8,1667
Secret,Fall 2019,4,1831
Secret,Spring 2019,6,1718
Secret,Spring 2020,3,1812
Secret,Spring 2023,4,1740
shellder,Spring 2019,3,1738
SJ | Strawhat,Fall 2019,1,2218
SJ | Strawhat,Spring 2019,1,2090
SJ | Strawhat,Spring 2020,1,2130
Skies,Spring 2020,2,1874
Stevebr0,Fall 2021,2,1906
Stevebr0,Fall 2022,3,1784
Stevebr0,Spring 2020,5,1585
Stevebr0,Spring 2022,1,1882
Stevebr0,Spring 2023,3,1769
TC | flackito,Fall 2021,3,1730
TC | flackito,Fall 2022,5,1711
TC | flackito,Spring 2022,4,1649
TC | flackito,Spring 2023,6,1677
Tempo,Fall 2019,10,1590
Tempo,Spring 2019,5,1736
toph,Fall 2021,5,1687
toph,Spring 2022,5,1607
traitorjoe,Fall 2021,9,1444
Vegeta,Spring 2020,9,1507
Venture,Fall 2022,7,1600
Venture,Spring 2020,10,1476
xavier,Fall 2021,1,2002
xavier,Fall 2022,1,2007
xavier,Spring 2022,2,1854
xavier,Spring 2023,2,1833
