player,semester,rank,peak_points
SJ | Strawhat,Fall 2019,1,2218
red berpo,Fall 2019,2,2019
xavier,Fall 2022,1,2007
Stevebr0,Fall 2021,2,1906
Skies,Spring 2020,2,1874
Andromeda,Fall 2019,3,1838
Ice On Deck,Spring 2023,1,1838
Secret,Fall 2019,4,1831
FZP | EO,Fall 2022,2,1810
Lemonpepsi,Fall 2019,5,1795
shellder,Spring 2019,3,1738
Tempo,Spring 2019,5,1736
TC | flackito,Fall 2021,3,1730
FBG | mrguy321,Fall 2021,4,1720
Mu^,Fall 2019,6,1712
Blob,Fall 2019,7,1702
toph,Fall 2021,5,1687
Menchu,Fall 2022,6,1677
Bizelion,Spring 2020,4,1677
RPG | Nutty,Spring 2019,8,1667
Caw,Fall 2021,6,1667
Ramnikia,Spring 2019,9,1665
Mendez,Fall 2019,8,1657
Ryan,Spring 2019,11,1630
GaryOnHisBS,Fall 2019,9,1612
Venture,Fall 2022,7,1600
Evanem,Spring 2019,12,1596
Bjr,Fall 2022,8,1584
Ferret,Fall 2021,7,1583
$Krilldog$,Fall 2019,11,1582
Momo,Fall 2021,8,1582
No,Spring 2019,15,1576
Gear,Spring 2019,16,1561
Cool,Spring 2020,7,1556
Levin~,Spring 2020,8,1546
koala cub,Fall 2022,9,1545
PSG | Grixis,Fall 2019,12,1545
Stuffy,Fall 2019,15,1537
Vegeta,Spring 2020,9,1507
Flavor,Fall 2022,10,1501
traitorjoe,Fall 2019,17,1497
Epoqua,Spring 2023,11,1482
KekNinja,Fall 2019,19,1478
boqw,Spring 2019,18,1477
MoralAtheist,Spring 2020,12,1468
KevinJSI,Spring 2022,6,1462
BLITZ_1217,Spring 2019,19,1461
Ley38,Spring 2019,21,1443
Barry mc,Spring 2022,7,1426
Pocket,Spring 2022,8,1422
bubbyloaf,Fall 2021,10,1417
Clobbah,Fall 2019,21,1414
LS | Scardone,Spring 2019,23,1412
Z.A.M.,Spring 2023,12,1412
Fecht,Spring 2022,11,1394
AlteredBeast,Fall 2021,11,1385
Swickalicious,Fall 2019,22,1384
sacred,Spring 2023,13,1381
RyanSavage,Spring 2019,25,1368
h,Spring 2022,12,1365
JJM,Spring 2019,27,1334
Yoshistar,Spring 2019,29,1326
cobaly,Fall 2019,24,1321
Luke Snywalker,Fall 2019,27,1311
Crystal D,Spring 2022,14,1294
exxlppm,Spring 2019,31,1290
e-in,Spring 2019,32,1285
9734521004 | ;(,Fall 2019,28,1273
Starmiedx,Spring 2023,20,1265
Ian,Spring 2019,35,1249
Renda,Spring 2019,36,1243
ChunkyMonkey,Fall 2022,16,1240
Dougdimmadome,Spring 2020,20,1225
DeFaz,Fall 2019,30,1216
Double,Spring 2020,21,1202
Rake,Fall 2019,32,1199
dashsix,Spring 2023,21,1191
Youssef,Spring 2022,15,1188
Deus Ex (Slot) Machina,Spring 2023,22,1177
Doctor | Slim D. Jim,Spring 2022,16,1156
Jio NExuS,Fall 2021,17,1135
Gamer Pavillion | EromangaFan,Fall 2021,18,1128
JGG | madluk,Spring 2019,40,1121
P-Merks,Spring 2019,41,1108
Ayds,Spring 2020,24,1059
shoobopper,Spring 2023,25,1050
A2 | Eternal,Spring 2019,43,1049
Supreme,Fall 2019,34,1021
Bean,Spring 2023,26,1009
Sinbad ,Spring 2020,26,1006
FruitPunchSamurai,Spring 2023,27,1004
ewisko,Spring 2020,27,999
:) | Wingnut,Spring 2023,28,998
BigSexc,Fall 2019,36,990
Wil,Fall 2022,19,980
Juicy J,Fall 2019,37,979
Bergen | Zote,Fall 2022,20,976
FDNC | Bernie Sanders,Spring 2020,28,965
Pickleboy | dillpickleboy,Spring 2023,29,960
Just_Dan,Fall 2021,20,946
HD | Orphan,Spring 2019,44,884
Gangadiddle,Fall 2021,21,858
Pollen,Spring 2022,18,842
Warioman,Spring 2022,19,781
Status,Spring 2019,45,747
Chriso,Spring 2020,32,728
Toad,Fall 2021,24,722
Sx,Fall 2022,23,722
Fatch,Fall 2019,38,702
Miker2112,Spring 2023,33,674
Falcon,Fall 2019,40,667
GRA,Spring 2019,46,643
bunz,Spring 2019,47,640
Bhaijan,Spring 2020,35,618
