player,semester,peak_rank,points
Ice On Deck,Spring 2023,1,1838
Stevebr0,Spring 2022,1,1882
xavier,Fall 2022,1,2007
FZP | EO,Fall 2022,2,1810
FBG | mrguy321,Spring 2022,3,1669
TC | flackito,Fall 2021,3,1730
toph,Fall 2021,5,1687
Menchu,Fall 2022,6,1677
Caw,Fall 2021,6,1667
KevinJSI,Spring 2022,6,1462
Barry mc,Spring 2022,7,1426
Ferret,Fall 2021,7,1583
Venture,Fall 2022,7,1600
Momo,Fall 2021,8,1582
Pocket,Spring 2022,8,1422
Bjr,Fall 2022,8,1584
$Krilldog$,Spring 2023,9,1577
koala cub,Fall 2022,9,1545
traitorjoe,Fall 2021,9,1444
bubbyloaf,Fall 2021,10,1417
Flavor,Fall 2022,10,1501
Fecht,Spring 2022,11,1394
Epoqua,Spring 2023,11,1482
AlteredBeast,Fall 2021,11,1385
Z.A.M.,Spring 2023,12,1412
h,Spring 2022,12,1365
MoralAtheist,Fall 2022,12,1408
Swickalicious,Fall 2021,12,1372
sacred,Spring 2023,13,1381
Crystal D,Spring 2022,14,1294
Youssef,Spring 2022,15,1188
Doctor | Slim D. Jim,Spring 2022,16,1156
ChunkyMonkey,Fall 2022,16,1240
Jio NExuS,Fall 2021,17,1135
dashsix,Fall 2022,18,1003
Gamer Pavillion | EromangaFan,Fall 2021,18,1128
Pollen,Spring 2022,18,842
Wil,Fall 2022,19,980
Warioman,Spring 2022,19,781
Bergen | Zote,Fall 2022,20,976
Starmiedx,Spring 2023,20,1265
Just_Dan,Fall 2021,20,946
Gangadiddle,Fall 2021,21,858
Deus Ex (Slot) Machina,Spring 2023,22,1177
Sx,Fall 2022,23,722
Toad,Fall 2021,24,722
shoobopper,Spring 2023,25,1050
Bean,Spring 2023,26,1009
FruitPunchSamurai,Spring 2023,27,1004
:) | Wingnut,Spring 2023,28,998
Pickleboy | dillpickleboy,Spring 2023,29,960
Miker2112,Spring 2023,33,674
