player,peak_rank,peak_points,peak_rank_semester,peak_points_semester
Ice On Deck,1,1838,Spring 2023,Spring 2023
Stevebr0,1,1906,Spring 2022,Fall 2021
xavier,1,2007,Fall 2022,Fall 2022
FZP | EO,2,1810,Fall 2022,Fall 2022
FBG | mrguy321,3,1720,Spring 2022,Fall 2021
TC | flackito,3,1730,Fall 2021,Fall 2021
toph,5,1687,Fall 2021,Fall 2021
Menchu,6,1677,Fall 2022,Fall 2022
Caw,6,1667,Fall 2021,Fall 2021
KevinJSI,6,1462,Spring 2022,Spring 2022
Barry mc,7,1426,Spring 2022,Spring 2022
Ferret,7,1583,Fall 2021,Fall 2021
Venture,7,1600,Fall 2022,Fall 2022
Momo,8,1582,Fall 2021,Fall 2021
Pocket,8,1422,Spring 2022,Spring 2022
Bjr,8,1584,Fall 2022,Fall 2022
koala cub,9,1545,Fall 2022,Fall 2022
bubbyloaf,10,1417,Fall 2021,Fall 2021
Flavor,10,1501,Fall 2022,Fall 2022
Fecht,11,1394,Spring 2022,Spring 2022
Epoqua,11,1482,Spring 2023,Spring 2023
AlteredBeast,11,1385,Fall 2021,Fall 2021
Z.A.M.,12,1412,Spring 2023,Spring 2023
h,12,1365,Spring 2022,Spring 2022
sacred,13,1381,Spring 2023,Spring 2023
Crystal D,14,1294,Spring 2022,Spring 2022
Youssef,15,1188,Spring 2022,Spring 2022
Doctor | Slim D. Jim,16,1156,Spring 2022,Spring 2022
ChunkyMonkey,16,1240,Fall 2022,Fall 2022
Jio NExuS,17,1135,Fall 2021,Fall 2021
dashsix,18,1191,Fall 2022,Spring 2023
Gamer Pavillion | EromangaFan,18,1128,Fall 2021,Fall 2021
Pollen,18,842,Spring 2022,Spring 2022
Wil,19,980,Fall 2022,Fall 2022
Warioman,19,781,Spring 2022,Spring 2022
Bergen | Zote,20,976,Fall 2022,Fall 2022
Starmiedx,20,1265,Spring 2023,Spring 2023
Just_Dan,20,946,Fall 2021,Fall 2021
Gangadiddle,21,858,Fall 2021,Fall 2021
Deus Ex (Slot) Machina,22,1177,Spring 2023,Spring 2023
Sx,23,722,Fall 2022,Fall 2022
Toad,24,722,Fall 2021,Fall 2021
shoobopper,25,1050,Spring 2023,Spring 2023
Bean,26,1009,Spring 2023,Spring 2023
FruitPunchSamurai,27,1004,Spring 2023,Spring 2023
:) | Wingnut,28,998,Spring 2023,Spring 2023
Pickleboy | dillpickleboy,29,960,Spring 2023,Spring 2023
Miker2112,33,674,Spring 2023,Spring 2023
