player,peak_rank,peak_points,peak_rank_semester,peak_points_semester
SJ | Strawhat,1,2218,Spring 2019,Fall 2019
Skies,2,1874,Spring 2020,Spring 2020
red berpo,2,2019,Spring 2019,Fall 2019
Secret,3,1831,Spring 2020,Fall 2019
shellder,3,1738,Spring 2019,Spring 2019
Andromeda,3,1838,Fall 2019,Fall 2019
Bizelion,4,1677,Spring 2020,Spring 2020
Tempo,5,1736,Spring 2019,Spring 2019
Lemonpepsi,5,1795,Fall 2019,Fall 2019
Mu^,6,1712,Fall 2019,Fall 2019
Cool,7,1556,Spring 2020,Spring 2020
Blob,7,1702,Fall 2019,Fall 2019
RPG | Nutty,8,1667,Spring 2019,Spring 2019
Mendez,8,1657,Fall 2019,Fall 2019
Levin~,8,1546,Spring 2020,Spring 2020
Vegeta,9,1507,Spring 2020,Spring 2020
$Krilldog$,9,1582,Spring 2023,Fall 2019
traitorjoe,9,1497,Fall 2021,Fall 2019
Ramnikia,9,1665,Spring 2019,Spring 2019
GaryOnHisBS,9,1612,Fall 2019,Fall 2019
Ryan,11,1630,Spring 2019,Spring 2019
Evanem,12,1596,Spring 2019,Spring 2019
MoralAtheist,12,1468,Fall 2022,Spring 2020
PSG | Grixis,12,1545,Fall 2019,Fall 2019
Swickalicious,12,1384,Fall 2021,Fall 2019
Stuffy,15,1537,Fall 2019,Fall 2019
No,15,1576,Spring 2019,Spring 2019
Gear,16,1561,Spring 2019,Spring 2019
Yoshistar,18,1326,Spring 2020,Spring 2019
boqw,18,1477,Spring 2019,Spring 2019
KekNinja,19,1478,Fall 2019,Fall 2019
BLITZ_1217,19,1461,Spring 2019,Spring 2019
Dougdimmadome,20,1225,Spring 2020,Spring 2020
Double,21,1202,Spring 2020,Spring 2020
Ley38,21,1443,Spring 2019,Spring 2019
Clobbah,21,1414,Fall 2019,Fall 2019
Luke Snywalker,22,1311,Spring 2020,Fall 2019
cobaly,23,1321,Spring 2020,Fall 2019
LS | Scardone,23,1412,Spring 2019,Spring 2019
Ayds,24,1059,Spring 2020,Spring 2020
Supreme,25,1021,Spring 2020,Fall 2019
RyanSavage,25,1368,Spring 2019,Spring 2019
Sinbad ,26,1006,Spring 2020,Spring 2020
ewisko,27,999,Spring 2020,Spring 2020
JJM,27,1334,Spring 2019,Spring 2019
FDNC | Bernie Sanders,28,965,Spring 2020,Spring 2020
9734521004 | ;(,28,1273,Fall 2019,Fall 2019
DeFaz,30,1216,Fall 2019,Fall 2019
exxlppm,31,1290,Spring 2019,Spring 2019
Chriso,32,728,Spring 2020,Spring 2020
e-in,32,1285,Spring 2019,Spring 2019
Rake,32,1199,Fall 2019,Fall 2019
Ian,35,1249,Spring 2019,Spring 2019
Bhaijan,35,618,Spring 2020,Spring 2020
Renda,36,1243,Spring 2019,Spring 2019
BigSexc,36,990,Fall 2019,Fall 2019
Juicy J,37,979,Fall 2019,Fall 2019
Fatch,38,702,Fall 2019,Fall 2019
Falcon,40,667,Fall 2019,Fall 2019
JGG | madluk,40,1121,Spring 2019,Spring 2019
P-Merks,41,1108,Spring 2019,Spring 2019
A2 | Eternal,43,1049,Spring 2019,Spring 2019
HD | Orphan,44,884,Spring 2019,Spring 2019
Status,45,747,Spring 2019,Spring 2019
GRA,46,643,Spring 2019,Spring 2019
bunz,47,640,Spring 2019,Spring 2019
