player,peak_rank,peak_points,semester
xavier,1,2007,Fall 2022
Skies,2,1874,Spring 2020
Andromeda,3,1838,Fall 2019
Ice On Deck,1,1838,Spring 2023
FZP | EO,2,1810,Fall 2022
Lemonpepsi,5,1795,Fall 2019
shellder,3,1738,Spring 2019
Tempo,5,1736,Spring 2019
TC | flackito,3,1730,Fall 2021
Mu^,6,1712,Fall 2019
Blob,7,1702,Fall 2019
toph,5,1687,Fall 2021
Menchu,6,1677,Fall 2022
Bizelion,4,1677,Spring 2020
RPG | Nutty,8,1667,Spring 2019
Caw,6,1667,Fall 2021
Ramnikia,9,1665,Spring 2019
Mendez,8,1657,Fall 2019
Ryan,11,1630,Spring 2019
GaryOnHisBS,9,1612,Fall 2019
Venture,7,1600,Fall 2022
Evanem,12,1596,Spring 2019
Bjr,8,1584,Fall 2022
Ferret,7,1583,Fall 2021
Momo,8,1582,Fall 2021
No,15,1576,Spring 2019
Gear,16,1561,Spring 2019
Cool,7,1556,Spring 2020
Levin~,8,1546,Spring 2020
koala cub,9,1545,Fall 2022
PSG | Grixis,12,1545,Fall 2019
Stuffy,15,1537,Fall 2019
Vegeta,9,1507,Spring 2020
Flavor,10,1501,Fall 2022
Epoqua,11,1482,Spring 2023
KekNinja,19,1478,Fall 2019
boqw,18,1477,Spring 2019
KevinJSI,6,1462,Spring 2022
BLITZ_1217,19,1461,Spring 2019
Ley38,21,1443,Spring 2019
Barry mc,7,1426,Spring 2022
Pocket,8,1422,Spring 2022
bubbyloaf,10,1417,Fall 2021
Clobbah,21,1414,Fall 2019
LS | Scardone,23,1412,Spring 2019
Z.A.M.,12,1412,Spring 2023
Fecht,11,1394,Spring 2022
AlteredBeast,11,1385,Fall 2021
sacred,13,1381,Spring 2023
RyanSavage,25,1368,Spring 2019
h,12,1365,Spring 2022
JJM,27,1334,Spring 2019
Crystal D,14,1294,Spring 2022
exxlppm,31,1290,Spring 2019
e-in,32,1285,Spring 2019
9734521004 | ;(,28,1273,Fall 2019
Starmiedx,20,1265,Spring 2023
Ian,35,1249,Spring 2019
Renda,36,1243,Spring 2019
ChunkyMonkey,16,1240,Fall 2022
Dougdimmadome,20,1225,Spring 2020
DeFaz,30,1216,Fall 2019
Double,21,1202,Spring 2020
Rake,32,1199,Fall 2019
Youssef,15,1188,Spring 2022
Deus Ex (Slot) Machina,22,1177,Spring 2023
Doctor | Slim D. Jim,16,1156,Spring 2022
Jio NExuS,17,1135,Fall 2021
Gamer Pavillion | EromangaFan,18,1128,Fall 2021
JGG | madluk,40,1121,Spring 2019
P-Merks,41,1108,Spring 2019
Ayds,24,1059,Spring 2020
shoobopper,25,1050,Spring 2023
A2 | Eternal,43,1049,Spring 2019
Bean,26,1009,Spring 2023
Sinbad ,26,1006,Spring 2020
FruitPunchSamurai,27,1004,Spring 2023
ewisko,27,999,Spring 2020
:) | Wingnut,28,998,Spring 2023
BigSexc,36,990,Fall 2019
Wil,19,980,Fall 2022
Juicy J,37,979,Fall 2019
Bergen | Zote,20,976,Fall 2022
FDNC | Bernie Sanders,28,965,Spring 2020
Pickleboy | dillpickleboy,29,960,Spring 2023
Just_Dan,20,946,Fall 2021
HD | Orphan,44,884,Spring 2019
Gangadiddle,21,858,Fall 2021
Pollen,18,842,Spring 2022
Warioman,19,781,Spring 2022
Status,45,747,Spring 2019
Chriso,32,728,Spring 2020
Toad,24,722,Fall 2021
Sx,23,722,Fall 2022
Fatch,38,702,Fall 2019
Miker2112,33,674,Spring 2023
Falcon,40,667,Fall 2019
GRA,46,643,Spring 2019
bunz,47,640,Spring 2019
Bhaijan,35,618,Spring 2020
