player,semester,rank,peak_points
xavier,Fall 2022,1,2007
Stevebr0,Fall 2021,2,1906
Ice On Deck,Spring 2023,1,1838
FZP | EO,Fall 2022,2,1810
TC | flackito,Fall 2021,3,1730
FBG | mrguy321,Fall 2021,4,1720
toph,Fall 2021,5,1687
Menchu,Fall 2022,6,1677
Caw,Fall 2021,6,1667
Venture,Fall 2022,7,1600
Bjr,Fall 2022,8,1584
Ferret,Fall 2021,7,1583
Momo,Fall 2021,8,1582
koala cub,Fall 2022,9,1545
Flavor,Fall 2022,10,1501
Epoqua,Spring 2023,11,1482
KevinJSI,Spring 2022,6,1462
Barry mc,Spring 2022,7,1426
Pocket,Spring 2022,8,1422
bubbyloaf,Fall 2021,10,1417
Z.A.M.,Spring 2023,12,1412
Fecht,Spring 2022,11,1394
AlteredBeast,Fall 2021,11,1385
sacred,Spring 2023,13,1381
h,Spring 2022,12,1365
Crystal D,Spring 2022,14,1294
Starmiedx,Spring 2023,20,1265
ChunkyMonkey,Fall 2022,16,1240
dashsix,Spring 2023,21,1191
Youssef,Spring 2022,15,1188
Deus Ex (Slot) Machina,Spring 2023,22,1177
Doctor | Slim D. Jim,Spring 2022,16,1156
Jio NExuS,Fall 2021,17,1135
Gamer Pavillion | EromangaFan,Fall 2021,18,1128
shoobopper,Spring 2023,25,1050
Bean,Spring 2023,26,1009
FruitPunchSamurai,Spring 2023,27,1004
:) | Wingnut,Spring 2023,28,998
Wil,Fall 2022,19,980
Bergen | Zote,Fall 2022,20,976
Pickleboy | dillpickleboy,Spring 2023,29,960
Just_Dan,Fall 2021,20,946
Gangadiddle,Fall 2021,21,858
Pollen,Spring 2022,18,842
Warioman,Spring 2022,19,781
Toad,Fall 2021,24,722
Sx,Fall 2022,23,722
Miker2112,Spring 2023,33,674
