player,semester,rank,peak_points
SJ | Strawhat,Fall 2019,1,2218
red berpo,Fall 2019,2,2019
Skies,Spring 2020,2,1874
Andromeda,Fall 2019,3,1838
Secret,Fall 2019,4,1831
Lemonpepsi,Fall 2019,5,1795
shellder,Spring 2019,3,1738
Tempo,Spring 2019,5,1736
Mu^,Fall 2019,6,1712
Blob,Fall 2019,7,1702
Bizelion,Spring 2020,4,1677
RPG | Nutty,Spring 2019,8,1667
Ramnikia,Spring 2019,9,1665
Mendez,Fall 2019,8,1657
Ryan,Spring 2019,11,1630
GaryOnHisBS,Fall 2019,9,1612
Evanem,Spring 2019,12,1596
$Krilldog$,Fall 2019,11,1582
No,Spring 2019,15,1576
Gear,Spring 2019,16,1561
Cool,Spring 2020,7,1556
Levin~,Spring 2020,8,1546
PSG | Grixis,Fall 2019,12,1545
Stuffy,Fall 2019,15,1537
Vegeta,Spring 2020,9,1507
traitorjoe,Fall 2019,17,1497
KekNinja,Fall 2019,19,1478
boqw,Spring 2019,18,1477
MoralAtheist,Spring 2020,12,1468
BLITZ_1217,Spring 2019,19,1461
Ley38,Spring 2019,21,1443
Clobbah,Fall 2019,21,1414
LS | Scardone,Spring 2019,23,1412
Swickalicious,Fall 2019,22,1384
RyanSavage,Spring 2019,25,1368
JJM,Spring 2019,27,1334
Yoshistar,Spring 2019,29,1326
cobaly,Fall 2019,24,1321
Luke Snywalker,Fall 2019,27,1311
exxlppm,Spring 2019,31,1290
e-in,Spring 2019,32,1285
9734521004 | ;(,Fall 2019,28,1273
Ian,Spring 2019,35,1249
Renda,Spring 2019,36,1243
Dougdimmadome,Spring 2020,20,1225
DeFaz,Fall 2019,30,1216
Double,Spring 2020,21,1202
Rake,Fall 2019,32,1199
JGG | madluk,Spring 2019,40,1121
P-Merks,Spring 2019,41,1108
Ayds,Spring 2020,24,1059
A2 | Eternal,Spring 2019,43,1049
Supreme,Fall 2019,34,1021
Sinbad ,Spring 2020,26,1006
ewisko,Spring 2020,27,999
BigSexc,Fall 2019,36,990
Juicy J,Fall 2019,37,979
FDNC | Bernie Sanders,Spring 2020,28,965
HD | Orphan,Spring 2019,44,884
Status,Spring 2019,45,747
Chriso,Spring 2020,32,728
Fatch,Fall 2019,38,702
Falcon,Fall 2019,40,667
GRA,Spring 2019,46,643
bunz,Spring 2019,47,640
Bhaijan,Spring 2020,35,618
